"lang_iso_code","en"
"Chars","أحرف"
"Unicode was saved.","تفعيل اليونيكود"
"Restore unsaved changes to its original state.","اعادة التغييرات غير المسجلة إلى حالتها الأصلية"

"Purchase Credit","شراء مخزون الرسائل"
"Purchase Credit - not active","شراء مخزون الرسائل - غير نشط"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","الحساب الشخصي غير نشط، للتسجيل يرجى النقر على ايقونة الرسائل، ومن ثمة يمكنك مشاهدة معطيات التسجيل، اذا سبق لك وأن استعملت هذا التطبيق واذا كنت تعرف اسم المستخدم وكلمة السر الخاصين بك يمكنك استخدامهم في هذا الحساب. خلافا لذلك أدخل البريد الإلكتروني الخاص بك ووافق على شروط الخدمة ومن ثمة اظغط على تسجيل"
" In case methods for credit purchase are not displayed properly, please click here:","  اذا ما لم يتم عرض طرق الشراء بشكل صحيح يرجى الظغط هنا:"

"Bulk SMS text","نص الرسائل القصيرة بالجملة"
"Add recipients ","إضافة المستلمين   "
"Add one or more recipients separated by commas. Number must be in international format, no leading zeros or “+“ sign.","أضف قائمة المستلمين مع مراعاة الفصل بين كل مستلم وآخر بعلامة فاصل ","، يجب أن تكون الأرقام بالصيغة الدولية مع مراعاة حذف الأصفار وحذف علامة  "+" زائد"
" (e.g. 447971796595)","  (مثلا 447971796595)"
"Enter SMS text","أكتب نص الرسالة"
"Add recipients in CSV file ","CSV أضف المستلمين في صيغة "
"CSV file - 1 column, 1st column - number (Number must be in international format, no leading zeros or “+“ sign; e.g. 447971796595)","CSV file - 1 column, 1st column - number (Number must be in international format, no leading zeros or “+“ sign; e.g. 447971796595)"
" Unicode ","  يونيكود  "
"Check only if you want to use Chinese, Arabic, Greek, Hebrew, Korean, Cyrillic, etc. or diacritic in the text of your SMS message (Unicode text allows you to insert characters in all fonts and various other symbols simultaneously. Number of characters in one SMS will be reduced to 70).","يتم تفعيل هذه الخاصية عند استعمال اللغة العربية أو الصينية أو اليونانية أو العبرية أو الكورية، إلخ. وكذلك عند استخدام الرموز في نص الرسالة (عموما نصوص اليونيكود تُمكِن من استعمال أحرف جميع اللغات بالإضافة الى جميع الرموز، عدد الأحرف الأقصى في نص الرسالة الواحدة يصبح 70 رمزا.)."
"Your time: ","التوقيت الخاص بك: "
"Time: ","التوقيت:  "
"time zone: ","التوقيت المحلي: "
"time zone settings","اعدادات التوقيت المحلي"
"Text is too long","النص طويل"
"Send SMS","ارسال"
"Send","ارسال"
"Send SMS or bulk SMS. Enter mobile numbers or upload CSV file.","sv ارسال رسالة او رسائل بالجملة، أدخل ارقام الهواتف او قم بتحميل ملف بصيغة "
"Send SMS - not active","بعث الرسائل - غير نشط"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","الحساب الشخصي غير نشط، للتسجيل يرجى النقر على ايقونة الرسائل، ومن ثمة يمكنك مشاهدة معطيات التسجيل، اذا سبق لك وأن استعملت هذا التطبيق واذا كنت تعرف اسم المستخدم وكلمة السر الخاصين بك يمكنك استخدامهم في هذا الحساب. خلافا لذلك أدخل البريد الإلكتروني الخاص بك ووافق على شروط الخدمة ومن ثمة اظغط على تسجيل"
"Fill in SMS text.","أضف نص الرسالة"
"SMS text is too long (max. 612 characters).","نص الرسالة طويل، الحد الأقصى المسموح به هو 612 حرف"
"SMS text is too long (max. 268 unicode characters).","نص الرسالة طويل، الحد الأقصى المسموح به هو 268 حرف يونيكود"
"Wrong time of SMS sending.","تاريخ غير صالح لإرسال الرسائل"
"Recipients found: 0","عدد المستلمين الموجودين: 0"
"You do not have enough credit to send SMS to all ","ليس لدليك مخزون كافي لكي تبعث للكل  "
" recipients."," المستلمون"
"SMS was sent.","تم ارسال الرسالة"
"SMS was saved.","تم حفظ نص الرسالة"
"wrong number or unavailable","رقم خاطئ أو غير صالح"
"unauthorized senderID in confirmation sms","معرف الباعث غير صالح لتأكيد عملية الإرسال"
"low credit for sending sms","مخزون منخفض لا يُمَكِن من بعث الرسائل"
"unicode is not supported","اليونيكود غير مدعوم"
"can not connect to SMS server","لا يمكن التواصل مع سيرفر الرسائل"
"SMS SIMULATION (Sending of SMS was simulated. Recipient will not receive SMS)","محاكاة الإرسال (تمت فقط محاكاة عملية الإرسال، لن يستقبل المستلم أي رسالة)"
"SMS was sent (simulation).","تم ارسال الرسالة (محاكاة)"
"error","خطأ"
"login error","خطأ في عملية الدخول"
" Send later "," أرسل لاحقا "
"Characters: ","أحرف: "
"1hr","1hr"
"Date: ","التاريخ: "

"SMS Answers","ردود الرسائل"
"SMS answer from customer is displayed only when customer receives SMS from your shop with SMS sender type „System number“ and customer replies using his own mobile phone.","الإجابة عن رسائل الحريف لا تظهر عادة الا عندما يستلم الحريف الرسالة من متجرك باستعمال صيغة \"الرقم النظامي\" وبذلك يمكن للحريف الرد باستعمال هاتفه الشخصي"
"Show","إظهار"
"Search results ","نتائج البحث "
" of "," ل  "
"SMS center","مركز الرسائل"
"Date","التاريخ"
"From number","من الرقم"
"new","جديد"
"Previous","السابق"
"Next","التالي"
" Page: ","  الصفحة: "
"SMS Answers - not active","الإجابة عن الرسائل - غير نشطة"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","الحساب الشخصي غير نشط، للتسجيل يرجى النقر على ايقونة الرسائل، ومن ثمة يمكنك مشاهدة معطيات التسجيل، اذا سبق لك وأن استعملت هذا التطبيق واذا كنت تعرف اسم المستخدم وكلمة السر الخاصين بك يمكنك استخدامهم في هذا الحساب. خلافا لذلك أدخل البريد الإلكتروني الخاص بك ووافق على شروط الخدمة ومن ثمة اظغط على تسجيل"
"year","سنة"
"month","شهر"
"SMS","رسالة"
"Text:","نص:"
"Total SMS answers: 0","مجموع ردود الرسائل: 0"

"SENT to recipient","الإرسال الى المستلم"
"ERROR","خطأ"
"DELIVERED to recipient","وصلت الرسالة الى المستلم"
"RECIPIENT UNAVAILABLE","RECIPIENT UNAVAILABLE"

"SMS History","ارشيف الإرساليات"
"History of sent SMS from SMS module.","رشيف الإرسال من تطبيق الإرساليات"
" admin sms","  ارساليات المشرف"
" customer sms","  ارساليات الحريف"
" marketing sms"," الرسائل التجارية"
" simple sms"," إرسال عادي"
"Show","إظهار"
"Search results ","نتائج البحث  "
" of "," ل "
"Type","النوع"
"Date","التاريخ"
"SMS subject","موضوع الإرسالية"
"Number","الرقم"
"yes","نعم"
"no","لا"
"system number","الرقم النظامي"
"Credit balance:","كمية المخزون:"
"Display customer detail","إظهار معطيات الحريف"
"Text:","النص:"
"Total SMS:","مجموع الرسائل:"
"SMS History - not active","أرشيف الإرسال - غير نشط"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","الحساب الشخصي غير نشط، للتسجيل يرجى النقر على ايقونة الرسائل، ومن ثمة يمكنك مشاهدة معطيات التسجيل، اذا سبق لك وأن استعملت هذا التطبيق واذا كنت تعرف اسم المستخدم وكلمة السر الخاصين بك يمكنك استخدامهم في هذا الحساب. خلافا لذلك أدخل البريد الإلكتروني الخاص بك ووافق على شروط الخدمة ومن ثمة اظغط على تسجيل"
"SMS price in credits:","سعر الإرسالية بصيغة \"المخزون\"ـ"
"year","السنة"
"month","الشهر"
"Status","الحالة"
"Recipient","المستلم"
"Unicode:","يونيكود:"
"senderID:","معرف المرسل:"
"Previous","السابق"
"Next","التالي"
" Page: "," الصفحة: "
"Total SMS: 0","مجموع الرسائل: 0"
"SMS","الإرساليات"

"SMS Marketing - bulk SMS text","الإرساليات التجارية - نص الإرساليات بالجملة"
"Enter SMS text","أدخل نص الرسالة"
" Unicode ","  يونيكود  "
"Check only if you want to use Chinese, Arabic, Greek, Hebrew, Korean, Cyrillic, etc. or diacritic in the text of your SMS message (Unicode text allows you to insert characters in all fonts and various other symbols simultaneously. Number of characters in one SMS will be reduced to 70).","يتم تفعيل هذه الخاصية عند استعمال اللغة العربية أو الصينية أو اليونانية أو العبرية أو الكورية، إلخ. وكذلك عند استخدام الرموز في نص الرسالة (عموما نصوص اليونيكود تُمكِن من استعمال أحرف جميع اللغات بالإضافة الى جميع الرموز، عدد الأحرف الأقصى في نص الرسالة الواحدة يصبح 70 رمزا)."
" Send later ","  أرسل لاحقا  "
"Your time: ","الوقت الخاص بك:"
"Total customers:","مجموع الحرفاء:"
"Total SMS:","مجموع الرسائل:"
"SMS Marketing - bulk SMS filter","الإرساليات التجارية - فلتر رسائل الجملة"
"All customers","جميع الحرفاء"
"company customers","منظومة الحرفاء"
"private customers","حرفاء خاصون"
"All countries","جميع الدول"
"Last name:","اللقب:"
"First name:","الإسم:"
"Last name","اللقب"
"First name","الإسم"
"Groups:","المجموعات:"
"All","الكل"
"Gender:","الجنس:"
"Male","ذكر"
"Female","أنثى"
"Newsletter:","النشرة البريدية:"
"Yes","نعم"
"No","لا"
"Apply filter","تفعيل الفلترة"
"Date of birth from: ","تاريخ الولادة من: "
"to: ","إلى: "
"Date of registration from: ","تاريخ التسجيل من: "
"Customers found: ","الحرفاء الذين أمكن إيجادهم  "
"results","النتائج"
"Action","الإجراء"
"Mobile number","رقم الهاتف المحمول"
"Customer ID","معرف الحريف"
"REMOVE customer from this list","حذف الحريف من هذه القائمة"
"Next","التالي"
"Previous","السابق"
" Page: "," الصفحة: "
"SMS Marketing - customers found: ","الإرساليات التجاريت - عدد الحرفاء الذين أمكن إيجادهم "
"Write text of message and use advanced filter to target your marketing campaign.","أكتب نص الرسالة واستعمل الفلتر المتقدم لتحديد هدف حملة التسويق الخاصة بك."
"Marketing SMS","الإرساليات التجارية"
"SMS Marketing - not active","الإرساليات التسويقية - غير نشطة"
"User profile is not active! To register click on the SMS tab in the main menu. Module will display you screen for entering registration data. If you have used our module in the past and you know your username and password, fill in form for existing account. Otherwise fill in your email, accept the license terms and click register.","الحساب الشخصي غير نشط، للتسجيل يرجى النقر على ايقونة الرسائل، ومن ثمة يمكنك مشاهدة معطيات التسجيل، اذا سبق لك وأن استعملت هذا التطبيق واذا كنت تعرف اسم المستخدم وكلمة السر الخاصين بك يمكنك استخدامهم في هذا الحساب. خلافا لذلك أدخل البريد الإلكتروني الخاص بك ووافق على شروط الخدمة ومن ثمة اظغط على تسجيل "
"Fill in SMS text","إملأ نص الرسالة"
"SMS text is too long (max. 612 characters).","نص الرسالة طويل (الحد الأقصى 612 حرفا)."
"SMS text is too long (max. 268 unicode characters).","نص الرسالة طويل (الحد الأقصى 268 حرف يونيكود)."
"Customers found: 0","الحرفاء الذين أمكن إيجادهم: 0"
"Wrong time of SMS sending.","توقيت غير صالح لبعث الإرساليات"
"You do not have enough credit to send SMS to all ","ليس لديك مخزون إرساليات كافي لبعث الرسائل للجميع  "
" customers."," الحرفاء"
"SMS was sent.","تم بعث الإرسالية"
"SMS was saved.","تم حفظ الإرسالية."
"wrong number or unavailable","رقم غير صالح أو غير موجود"
"unauthorized senderID in confirmation sms","معرف المرسل غير مسموح به لتأكيد عملية الإرسال"
"low credit for sending sms","مخزون إرساليات منخفض"
"unicode is not supported","اليونيكود غير مدعم"
"can not connect to SMS server","لا يمكن الإتصال بسرفر الإرساليات"
"SMS SIMULATION (Sending of SMS was simulated. Recipient will not receive SMS)","محاكاة الإرسال (تمت فقط محاكاة عملية الإرسال، لن يستقبل المستلم أي رسالة)"
"SMS was sent (simulation).","تم بعث الرسالة (فقط محاكاة)"
"error","خطأ"
"login error","خطأ في عملية الدخول"
"Date:","التاريخ:"
"Time: ","التوقيت: "
"1hr","1hr"
"time zone: ","التوقيت المحلي:  "
"time zone settings","إعدادات التوقيت المحلي"
"Send","إرسال"
"Characters: ","أحرف:  "
"Text is too long","النص طويل"
"Type:","النوع: "
"Country:","البلد:"
"City:","الجهة:"
"Advert:","الإعلام:"
"Store:","المتجر:"
"All stores","ميع المتاجر"

"Presta SMS","Presta SMS"
"presta-sms.com - send SMS from your Prestashop!","presta-sms.com - إبعث إرسالياتك من برستاشوب!"
"Admin SMS","إرساليات المشرف"
"Customer SMS","إرساليات الحريف"
"SMS Settings","إعدادات الإرسال
"SMS History","أرشيف الإرسال"
"Purchase Credit","شراء مخزون الإرساليات"
"Marketing SMS","الإرساليات التجارية"
"SMS Answers","ردود الرسائل"
"Send SMS","بعث الإرساليات"
"About","حول التطبيق"
"wrong number or unavailable","رقم خاطئ أو غير موجود"
"unauthorized senderID in confirmation sms","معرف الباعث غير مسموح به لتأكيد عملية الإرسال"
"low credit for sending sms","مخزون الإرساليات منخفض لإرسال الرسائل"
"unicode is not supported","لا يمكن استعمال اليونيكود"
"login error","خطأ في عملية الدخول"
"can not connect to SMS server","لا يمكن الإتصال بسيرفر الإرساليات"
"SMS SIMULATION (Sending of SMS was simulated. Recipient will not receive SMS)","محاكاة الإرسال (تمت فقط محاكاة عملية الإرسال، لن يستقبل المستلم أي رسالة)"
"unknown mobile number","لم يتم التعرف على رقم الهاتف المحمول"
"not connected to SMS server","الإتصال مقطوع مع سيرفر الإرساليات"
"New orders",""طلبيات جديدة"
"New order from {customer_firstname} {customer_lastname}, customer id: {customer_id}, order id: {order_id}, payment: {order_payment}, amount: {order_total_paid} {order_currency}. Order: {newOrder2}. Info from {shop_name}.","New order from {customer_firstname} {customer_lastname}, customer id: {customer_id}, order id: {order_id}, payment: {order_payment}, amount: {order_total_paid} {order_currency}. Order: {newOrder2}. Info from {shop_name}."
"Your order {order_id} was successfully created, payment: {order_payment}, amount: {order_total_paid} {order_currency}. Have a nice day, {shop_name}.","Your order {order_id} was successfully created, payment: {order_payment}, amount: {order_total_paid} {order_currency}. Have a nice day, {shop_name}."
"Possible variables:","Possible variables:"
"Successful customer create account","Successful customer create account"
"Customer {customer_firstname} {customer_lastname}, id: {customer_id}, has just subscribed to {shop_name}.","Customer {customer_firstname} {customer_lastname}, id: {customer_id}, has just subscribed to {shop_name}."
"Dear {customer_firstname} {customer_lastname}, your account in {shop_name} was successfully created. Your username: {customer_email}. Have a nice day!","Dear {customer_firstname} {customer_lastname}, your account in {shop_name} was successfully created. Your username: {customer_email}. Have a nice day!"
"Product returned","Product returned"
"Customer {customer_firstname} {customer_lastname}, id: {customer_id}, has returned product from order {order_id}. Order: {orderReturn2}. Customer text: {customer_question}. Info from {shop_name}.","Customer {customer_firstname} {customer_lastname}, id: {customer_id}, has returned product from order {order_id}. Order: {orderReturn2}. Customer text: {customer_question}. Info from {shop_name}."
"We have received your request. Order {order_id}. Have a nice day, {shop_name}.","We have received your request. Order {order_id}. Have a nice day, {shop_name}."
"Called when a quantity of one product change in an order","Called when a quantity of one product change in an order"
"In order {order_id} was changed quantity, {orderSlip2}. Info from {shop_name}.","In order {order_id} was changed quantity, {orderSlip2}. Info from {shop_name}."
"In your order {order_id} was changed quantity, {orderSlip2}. Have a nice day, {shop_name}.","In your order {order_id} was changed quantity, {orderSlip2}. Have a nice day, {shop_name}."
"Payment confirmation","Payment confirmation"
"Payment confirmation, order id: {order_id}, payment: {order_payment}, amount: {order_total_paid} {order_currency}. Info from {shop_name}.","Payment confirmation, order id: {order_id}, payment: {order_payment}, amount: {order_total_paid} {order_currency}. Info from {shop_name}."
"We have successfully received payment for your order {order_id} via {order_payment}, amount: {order_total_paid} {order_currency}. Have a nice day, {shop_name}.","We have successfully received payment for your order {order_id} via {order_payment}, amount: {order_total_paid} {order_currency}. Have a nice day, {shop_name}."
"Update of tracking number in order","Update of tracking number in order"
"Order {order_id} was updated, tracking number is {order_shipping_number}. Info from {shop_name}.","Order {order_id} was updated, tracking number is {order_shipping_number}. Info from {shop_name}."
"Dear Customer, your order {order_id} was shipped, tracking number is {order_shipping_number}. Have a nice day, {shop_name}.","Dear Customer, your order {order_id} was shipped, tracking number is {order_shipping_number}. Have a nice day, {shop_name}."
"Called when a product is deleted","Called when a product is deleted"
"This product was deleted from {shop_name}, id: {product_id}, ref: {product_ref}, name: {product_name}. Deleted by user {employee_id}, {employee_email}.","This product was deleted from {shop_name}, id: {product_id}, ref: {product_ref}, name: {product_name}. Deleted by user {employee_id}, {employee_email}."
"Quantity is updated only when the customer effectively place his order","Quantity is updated only when the customer effectively place his order"
"Quantity of product has changed, id: {product_id}, ref: {product_ref}, name: {product_name}, current quantity: {product_quantity}, supplier: {product_supplier}. Info from {shop_name}.","Quantity of product has changed, id: {product_id}, ref: {product_ref}, name: {product_name}, current quantity: {product_quantity}, supplier: {product_supplier}. Info from {shop_name}."
"Product out of stock","Product out of stock"
"This product is almost out of stock, id: {product_id}, ref: {product_ref}, name: {product_name}, current quantity: {product_quantity}. Info from {shop_name}.","This product is almost out of stock, id: {product_id}, ref: {product_ref}, name: {product_name}, current quantity: {product_quantity}. Info from {shop_name}."
"Called when admin or customer cancel a product in an order","Called when admin or customer cancel a product in an order"
"In order {order_id} was canceled product with id: {product_id}, ref: {product_ref}, name: {product_name}. Quantity: {product_quantity}, quantity reinjected: {product_quantity_reinjected}. Info from {shop_name}.","In order {order_id} was canceled product with id: {product_id}, ref: {product_ref}, name: {product_name}. Quantity: {product_quantity}, quantity reinjected: {product_quantity_reinjected}. Info from {shop_name}."
"Status of order {order_id} has changed to ","Status of order {order_id} has changed to "
". Info from {shop_name}.",". Info from {shop_name}."
"Dear Customer, status of your order {order_id} has changed to ","Dear Customer, status of your order {order_id} has changed to "
". Have a nice day, {shop_name}.",". Have a nice day, {shop_name}."
"Bank wire","Bank wire"
"Company Name","Company Name"
"Country","Country"
"City","City"
"qty","qty"
"qty reinjected","qty reinjected"
"qty returned","qty returned"
"name","name"
"not found","not found"
"SMS Settings - Select Own number sender ID for ","SMS Settings - Select Own number sender ID for "
"Own number sender ID settings","Own number sender ID settings"
